,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Height,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%,href
0,11.4,.518,22.1,None,None,None,4.1,22,None,None,11.4,.518,22.1,5.9,.653,9.1,82,None,7-2,NBA,43.1,None,3.5,28.8,Kareem Abdul-Jabbar,C,None,None,None,14.5,MIL,.518,/players/a/abdulka01.html
1,13.0,.577,22.5,None,None,None,3.3,23,None,None,13.0,.577,22.5,5.7,.690,8.3,82,None,7-2,NBA,40.1,None,3.2,31.7,Kareem Abdul-Jabbar,C,None,None,None,16.0,MIL,.577,/players/a/abdulka01.html
2,14.3,.574,24.9,None,None,None,4.6,24,None,None,14.3,.574,24.9,6.2,.689,9.0,81,None,7-2,NBA,44.2,None,2.9,34.8,Kareem Abdul-Jabbar,C,None,None,None,16.6,MIL,.574,/players/a/abdulka01.html
3,12.9,.554,23.3,None,None,None,5.0,25,None,None,12.9,.554,23.3,4.3,.713,6.1,76,None,7-2,NBA,42.8,None,2.7,30.2,Kareem Abdul-Jabbar,C,None,None,None,16.1,MIL,.554,/players/a/abdulka01.html
4,11.7,.539,21.7,None,None,None,4.8,26,3.5,11.0,11.7,.539,21.7,3.6,.702,5.2,81,None,7-2,NBA,43.8,3.5,2.9,27.0,Kareem Abdul-Jabbar,C,1.4,None,None,14.5,MIL,.539,/players/a/abdulka01.html
5,12.5,.513,24.4,None,None,None,4.1,27,3.3,11.0,12.5,.513,24.4,5.0,.763,6.6,65,None,7-2,NBA,42.3,3.0,3.2,30.0,Kareem Abdul-Jabbar,C,1.0,None,None,14.0,MIL,.513,/players/a/abdulka01.html
6,11.1,.529,21.1,None,None,None,5.0,28,4.1,13.5,11.1,.529,21.1,5.5,.703,7.8,82,None,7-2,NBA,41.2,3.3,3.6,27.7,Kareem Abdul-Jabbar,C,1.5,None,None,16.9,LAL,.529,/players/a/abdulka01.html
7,10.8,.579,18.7,None,None,None,3.9,29,3.2,10.0,10.8,.579,18.7,4.6,.701,6.5,82,None,7-2,NBA,36.8,3.2,3.2,26.2,Kareem Abdul-Jabbar,C,1.2,None,None,13.3,LAL,.579,/players/a/abdulka01.html
8,10.7,.550,19.4,None,None,None,4.3,30,3.0,9.9,10.7,.550,19.4,4.4,.783,5.6,62,None,7-2,NBA,36.5,3.0,2.9,25.8,Kareem Abdul-Jabbar,C,1.7,1977-78,3.4,12.9,LAL,.550,/players/a/abdulka01.html
9,9.7,.577,16.8,None,None,None,5.4,31,4.0,10.2,9.7,.577,16.8,4.4,.736,5.9,80,None,7-2,NBA,39.5,2.6,2.9,23.8,Kareem Abdul-Jabbar,C,1.0,None,3.5,12.8,LAL,.577,/players/a/abdulka01.html
10,10.2,.604,16.9,0.0,.000,0.0,4.5,32,3.4,8.5,10.2,.604,16.9,4.4,.765,5.8,82,None,7-2,NBA,38.3,2.3,2.6,24.8,Kareem Abdul-Jabbar,C,1.0,None,3.6,10.8,LAL,.604,/players/a/abdulka01.html
11,10.5,.574,18.2,0.0,.000,0.0,3.4,33,2.9,7.8,10.5,.574,18.2,5.3,.766,6.9,80,None,7-2,NBA,37.2,2.5,3.1,26.2,Kareem Abdul-Jabbar,C,0.7,None,3.1,10.3,LAL,.574,/players/a/abdulka01.html
12,9.9,.580,17.1,0.0,.000,0.0,3.0,34,2.7,6.4,9.9,.579,17.1,4.1,.706,5.8,76,76,7-2,NBA,35.2,2.3,2.9,23.9,Kareem Abdul-Jabbar,C,0.8,None,3.0,8.7,LAL,.579,/players/a/abdulka01.html
13,9.1,.589,15.5,0.0,.000,0.0,2.5,35,2.2,5.4,9.1,.588,15.5,3.5,.749,4.7,79,79,7-2,NBA,32.3,2.1,2.8,21.8,Kareem Abdul-Jabbar,C,0.8,None,2.5,7.5,LAL,.588,/players/a/abdulka01.html
14,9.0,.579,15.5,0.0,.000,0.0,2.6,36,1.8,5.2,9.0,.578,15.5,3.6,.723,4.9,80,80,7-2,NBA,32.8,2.1,2.6,21.5,Kareem Abdul-Jabbar,C,0.7,None,2.8,7.3,LAL,.578,/players/a/abdulka01.html
15,9.2,.600,15.3,0.0,.000,0.0,3.2,37,2.1,5.8,9.2,.599,15.3,3.7,.732,5.0,79,79,7-2,NBA,33.3,2.1,3.0,22.0,Kareem Abdul-Jabbar,C,0.8,None,2.5,7.9,LAL,.599,/players/a/abdulka01.html
16,9.6,.565,16.9,0.0,.000,0.0,3.5,38,1.6,4.4,9.6,.564,16.9,4.3,.765,5.6,79,79,7-2,NBA,33.3,1.7,3.1,23.4,Kareem Abdul-Jabbar,C,0.8,None,2.6,6.1,LAL,.564,/players/a/abdulka01.html
17,7.2,.565,12.7,0.0,.333,0.0,2.6,39,1.2,4.8,7.2,.564,12.7,3.1,.714,4.4,78,78,7-2,NBA,31.3,1.9,3.1,17.5,Kareem Abdul-Jabbar,C,0.6,None,2.4,6.7,LAL,.564,/players/a/abdulka01.html
18,6.0,.532,11.3,0.0,.000,0.0,1.7,40,1.2,4.5,6.0,.532,11.3,2.6,.762,3.4,80,80,7-2,NBA,28.9,1.5,2.7,14.6,Kareem Abdul-Jabbar,C,0.6,None,2.0,6.0,LAL,.532,/players/a/abdulka01.html
19,4.2,.477,8.9,0.0,.000,0.0,1.0,41,1.1,3.1,4.2,.475,8.9,1.6,.739,2.2,74,74,7-2,NBA,22.9,1.4,2.6,10.1,Kareem Abdul-Jabbar,C,0.5,None,1.3,4.5,LAL,.475,/players/a/abdulka01.html
20,10.1,.526,19.2,0.1,.173,0.6,5.9,21,0.8,4.5,10.2,.515,19.8,7.7,.845,9.1,82,82,6-6,NBA,38.3,2.0,3.5,28.2,Michael Jordan,SG,2.4,None,3.5,6.5,CHI,.518,/players/j/jordami01.html
21,8.2,.474,17.2,0.2,.167,1.0,2.9,22,1.2,2.3,8.3,.457,18.2,5.8,.840,6.9,18,7,6-6,NBA,25.1,1.3,2.6,22.7,Michael Jordan,SG,2.1,None,2.5,3.6,CHI,.462,/players/j/jordami01.html
22,13.2,.491,27.0,0.1,.182,0.8,4.6,23,1.5,3.2,13.4,.482,27.8,10.2,.857,11.9,82,82,6-6,NBA,40.0,2.0,2.9,37.1,Michael Jordan,SG,2.9,None,3.3,5.2,CHI,.484,/players/j/jordami01.html
23,13.0,.546,23.7,0.1,.132,0.6,5.9,24,1.6,3.8,13.0,.535,24.4,8.8,.841,10.5,82,82,6-6,NBA,40.4,1.7,3.3,35.0,Michael Jordan,SG,3.2,None,3.1,5.5,CHI,.537,/players/j/jordami01.html
24,11.6,.553,21.0,0.3,.276,1.2,8.0,25,0.8,6.2,11.9,.538,22.2,8.3,.850,9.8,81,81,6-6,NBA,40.2,1.8,3.0,32.5,Michael Jordan,SG,2.9,None,3.6,8.0,CHI,.546,/players/j/jordami01.html
25,11.5,.548,21.0,1.1,.376,3.0,6.3,26,0.7,5.1,12.6,.526,24.0,7.2,.848,8.5,82,82,6-6,NBA,39.0,1.7,2.9,33.6,Michael Jordan,SG,2.8,None,3.0,6.9,CHI,.550,/players/j/jordami01.html
26,11.7,.551,21.3,0.4,.312,1.1,5.5,27,1.0,4.6,12.1,.539,22.4,7.0,.851,8.2,82,82,6-6,NBA,37.0,1.4,2.8,31.5,Michael Jordan,SG,2.7,None,2.5,6.0,CHI,.547,/players/j/jordami01.html
27,11.5,.533,21.5,0.3,.270,1.3,6.1,28,0.9,5.3,11.8,.519,22.7,6.1,.832,7.4,80,80,6-6,NBA,38.8,1.1,2.5,30.1,Michael Jordan,SG,2.3,None,2.5,6.4,CHI,.526,/players/j/jordami01.html
28,11.7,.514,22.7,1.0,.352,2.9,5.5,29,0.8,5.0,12.7,.495,25.7,6.1,.837,7.3,78,78,6-6,NBA,39.3,1.7,2.4,32.6,Michael Jordan,SG,2.8,None,2.7,6.7,CHI,.515,/players/j/jordami01.html
29,0.9,.500,1.9,9.8,.411,23.8,1.5,30,6.9,8.0,17,39.3,17,21.9,.431,.403,CHI,NBA,6-6,1994-95,SG,6.4,1.8,0.8,Michael Jordan,31,5.4,1993-94,5.3,.801,None,8.8,/players/j/jordami01.html
30,1.4,.427,3.2,11.2,.495,22.6,1.8,2.8,6.6,8.0,82,37.7,82,19.4,.525,.506,CHI,NBA,6-6,None,SG,6.7,2.2,0.5,Michael Jordan,32,4.8,2.1,4.3,.834,26.9,9.8,/players/j/jordami01.html
31,1.4,.374,3.6,11.2,.486,23.1,1.4,2.4,5.9,7.0,82,37.9,82,19.5,.516,.507,CHI,NBA,6-6,None,SG,5.9,1.7,0.5,Michael Jordan,33,4.5,2.4,4.3,.833,30.4,9.9,/players/j/jordami01.html
32,0.4,.238,1.5,10.7,.465,23.1,1.6,1.9,5.8,8.8,82,38.8,82,21.5,.473,.482,CHI,NBA,6-6,None,SG,6.9,1.7,0.5,Michael Jordan,34,4.2,2.0,3.5,.784,29.6,10.4,/players/j/jordami01.html
